rank	total	cum	word
4981	14	90.44%	вздумать
4982	14	90.44%	комментировать
4983	14	90.44%	мурашка
4984	14	90.44%	симпатичный
4985	14	90.44%	сопротивлять
4986	14	90.44%	обступить
4987	14	90.45%	такт
4988	14	90.45%	подвинуться
4989	14	90.45%	шарить
4990	14	90.45%	провозгласить
4991	14	90.45%	напрасно
4992	14	90.45%	оцепенеть
4993	14	90.46%	добиваться
4994	14	90.46%	нежно
4995	14	90.46%	измучить
4996	14	90.46%	изуродовать
4997	14	90.46%	принадлежность
4998	14	90.46%	творить
4999	14	90.47%	невесть
5000	14	90.47%	заколочить
5001	14	90.47%	прохожий
5002	14	90.47%	сбоку
5003	14	90.47%	глухо
5004	14	90.47%	проголодаться
5005	14	90.48%	снадобье
5006	14	90.48%	лекарство
5007	14	90.48%	мертвец
5008	14	90.48%	убежище
5009	14	90.48%	удаляться
5010	14	90.48%	приступать
5011	14	90.49%	приглядывать
5012	14	90.49%	докс
5013	14	90.49%	смириться
5014	14	90.49%	собеседник
5015	14	90.49%	раздвинуть
5016	14	90.49%	опираться
5017	14	90.50%	долететь
5018	14	90.50%	завыть
5019	14	90.50%	чудища
5020	14	90.50%	наслать
5021	14	90.50%	препятствие
5022	14	90.50%	белокурый
5023	14	90.51%	отдаленный
5024	14	90.51%	шататься
5025	14	90.51%	скатиться
5026	14	90.51%	намерение
5027	14	90.51%	неотрывно
5028	14	90.51%	перекосить
5029	14	90.51%	окрестность
5030	14	90.52%	внутренность
5031	14	90.52%	провал
5032	14	90.52%	короче
5033	14	90.52%	вырастить
5034	14	90.52%	превращать
5035	14	90.52%	заглушать
5036	14	90.53%	волк
5037	14	90.53%	временно
5038	14	90.53%	гимн
5039	14	90.53%	глазница
5040	14	90.53%	боковой
5041	14	90.53%	нагрузить
5042	14	90.54%	недовольство
5043	14	90.54%	кататься
5044	14	90.54%	игрушка
5045	14	90.54%	убираться
5046	14	90.54%	самостоятельно
5047	14	90.54%	массовый
5048	14	90.55%	икнуть
5049	14	90.55%	салфетка
5050	14	90.55%	блондинка
5051	14	90.55%	высасывать
5052	14	90.55%	видимость
5053	14	90.55%	шатр
5054	14	90.56%	лягушачий
5055	14	90.56%	глазеть
5056	14	90.56%	туманный
5057	14	90.56%	давный
5058	14	90.56%	оборот
5059	14	90.56%	занметить
5060	14	90.57%	не­сколько
5061	14	90.57%	лжец
5062	14	90.57%	замышлять
5063	14	90.57%	задушить
5064	14	90.57%	комментарий
5065	14	90.57%	как-нибудь
5066	14	90.58%	обедить
5067	14	90.58%	капуста
5068	14	90.58%	оживленно
5069	14	90.58%	слишок
5070	14	90.58%	ежиться
5071	14	90.58%	дружгий
5072	14	90.59%	посылка
5073	14	90.59%	оранжерея
5074	14	90.59%	горсть
5075	14	90.59%	опасение
5076	14	90.59%	волошебник
5077	14	90.59%	нацарапать
5078	14	90.60%	передернуть
5079	14	90.60%	закутаться
5080	14	90.60%	привезти
5081	14	90.60%	откусить
5082	14	90.60%	обстановка
5083	14	90.60%	шалость
5084	14	90.61%	любимчик
5085	14	90.61%	партнер
5086	14	90.61%	снабдить
5087	14	90.61%	ввести
5088	14	90.61%	первенство
5089	14	90.61%	русалка
5090	14	90.62%	миртл
5091	14	90.62%	русалок
5092	14	90.62%	качать
5093	14	90.62%	ик
5094	14	90.62%	арбалет
5095	14	90.62%	равновесие
5096	14	90.63%	минимум
5097	14	90.63%	неистово
5098	14	90.63%	агрессивный
5099	14	90.63%	адресовать
5100	14	90.63%	остановка
5101	14	90.63%	маггла
5102	13	90.64%	колыхаться
5103	13	90.64%	погружаться
5104	13	90.64%	привыкать
5105	13	90.64%	прорезь
5106	13	90.64%	раздумье
5107	13	90.64%	преимущество
5108	13	90.64%	протяжный
5109	13	90.65%	усилиться
5110	13	90.65%	непроницаемый
5111	13	90.65%	презрение
5112	13	90.65%	поселиться
5113	13	90.65%	оскорбление
5114	13	90.65%	вещица
5115	13	90.66%	поразительный
5116	13	90.66%	вслушиваться
5117	13	90.66%	обдумывать
5118	13	90.66%	одаренный
5119	13	90.66%	вера
5120	13	90.66%	перила
5121	13	90.66%	роскошный
5122	13	90.67%	дохлый
5123	13	90.67%	доказывать
5124	13	90.67%	заколебаться
5125	13	90.67%	предполагать
5126	13	90.67%	укрыть
5127	13	90.67%	хлам
5128	13	90.68%	здешний
5129	13	90.68%	настороженно
5130	13	90.68%	опасливо
5131	13	90.68%	донести
5132	13	90.68%	полуслова
5133	13	90.68%	мантиейневидимкий
5134	13	90.68%	раствориться
5135	13	90.69%	задремать
5136	13	90.69%	гулко
5137	13	90.69%	олливандер
5138	13	90.69%	бифштекс
5139	13	90.69%	заморгать
5140	13	90.69%	вибрировать
5141	13	90.70%	подробный
5142	13	90.70%	ползти
5143	13	90.70%	выложить
5144	13	90.70%	неладный
5145	13	90.70%	нежелательный
5146	13	90.70%	цветной
5147	13	90.70%	кисть
5148	13	90.71%	коробочка
5149	13	90.71%	№
5150	13	90.71%	зеркальце
5151	13	90.71%	предназначить
5152	13	90.71%	документ
5153	13	90.71%	лязгать
5154	13	90.72%	раздирать
5155	13	90.72%	помост
5156	13	90.72%	вкрадчиво
5157	13	90.72%	ненужный
5158	13	90.72%	дырка
5159	13	90.72%	плоть
5160	13	90.72%	яблоко
5161	13	90.73%	чутьчуть
5162	13	90.73%	нежность
5163	13	90.73%	куриный
5164	13	90.73%	случайный
5165	13	90.73%	подъем
5166	13	90.73%	столетие
5167	13	90.74%	озабоченно
5168	13	90.74%	прикрытие
5169	13	90.74%	прерывать
5170	13	90.74%	барабанить
5171	13	90.74%	щитовый
5172	13	90.74%	потихоньку
5173	13	90.74%	засыпать
5174	13	90.75%	пальто
5175	13	90.75%	уличный
5176	13	90.75%	затолкать
5177	13	90.75%	распевать
5178	13	90.75%	прерваться
5179	13	90.75%	дернуть
5180	13	90.76%	развалина
5181	13	90.76%	вопросительно
5182	13	90.76%	тесниться
5183	13	90.76%	воззриться
5184	13	90.76%	фарфор
5185	13	90.76%	шуршать
5186	13	90.76%	угу
5187	13	90.77%	дежурство
5188	13	90.77%	долина
5189	13	90.77%	идеально
5190	13	90.77%	листать
5191	13	90.77%	итог
5192	13	90.77%	совин
5193	13	90.78%	сыворотка
5194	13	90.78%	уступать
5195	13	90.78%	откровенный
5196	13	90.78%	трепать
5197	13	90.78%	головка
5198	13	90.78%	нырять
5199	13	90.78%	смустить
5200	13	90.79%	отдернуть
5201	13	90.79%	высморкаться
5202	13	90.79%	севший
5203	13	90.79%	складывать
5204	13	90.79%	сушеный
5205	13	90.79%	читатель
5206	13	90.80%	чудиться
5207	13	90.80%	раскаяние
5208	13	90.80%	молчить
5209	13	90.80%	колючий
5210	13	90.80%	заводить
5211	13	90.80%	дежурить
5212	13	90.80%	повидаться
5213	13	90.81%	погладить
5214	13	90.81%	отходить
5215	13	90.81%	отхлебнуть
5216	13	90.81%	путешествовать
5217	13	90.81%	закинуть
5218	13	90.81%	гоняться
5219	13	90.82%	забава
5220	13	90.82%	чепух
5221	13	90.82%	ложный
5222	13	90.82%	жалобный
5223	13	90.82%	накладывать
5224	13	90.82%	упрек
5225	13	90.82%	спасаться
5226	13	90.83%	разгуливать
5227	13	90.83%	смело
5228	13	90.83%	завертеться
5229	13	90.83%	скрючиться
5230	13	90.83%	узник
5231	13	90.83%	зарычать
5232	13	90.84%	вывернуть
5233	13	90.84%	шуметь
5234	13	90.84%	вязаный
5235	13	90.84%	утес
5236	13	90.84%	белоснежный
5237	13	90.84%	отделение
5238	13	90.84%	затевать
5239	13	90.85%	мохнатый
5240	13	90.85%	футляр
5241	13	90.85%	сделка
5242	13	90.85%	заикаться
5243	13	90.85%	сочувствовать
5244	13	90.85%	охранник
5245	13	90.86%	предостережение
5246	13	90.86%	различный
5247	13	90.86%	заказывать
5248	13	90.86%	корона
5249	13	90.86%	шлем
5250	13	90.86%	местность
5251	13	90.86%	запинаться
5252	13	90.87%	вблизи
5253	13	90.87%	скрипучий
5254	13	90.87%	статься
5255	13	90.87%	взъеросить
5256	13	90.87%	готовность
5257	13	90.87%	дядюшка
5258	13	90.88%	извлекать
5259	13	90.88%	вскипеть
5260	13	90.88%	оконный
5261	13	90.88%	разрыдаться
5262	13	90.88%	парик
5263	13	90.88%	помять
5264	13	90.88%	меть
5265	13	90.89%	вложить
5266	13	90.89%	проясниться
5267	13	90.89%	ненавистный
5268	13	90.89%	директрис
5269	13	90.89%	качаться
5270	13	90.89%	шок
5271	13	90.90%	многозначительно
5272	13	90.90%	жертвовать
5273	13	90.90%	жестокость
5274	13	90.90%	продолжение
5275	13	90.90%	слон
5276	13	90.90%	топор
5277	13	90.90%	шпион
5278	13	90.91%	рон
5279	13	90.91%	схема
5280	13	90.91%	запирать
5281	13	90.91%	обеспокоенно
5282	13	90.91%	затянуться
5283	13	90.91%	терпеливо
5284	13	90.92%	флаг
5285	13	90.92%	чисто
5286	13	90.92%	старенький
5287	13	90.92%	выделить
5288	13	90.92%	метод
5289	13	90.92%	слюна
5290	13	90.92%	пропеть
5291	13	90.93%	русалочий
5292	13	90.93%	определенный
5293	13	90.93%	споткнуться
5294	13	90.93%	рыжеволосый
5295	13	90.93%	потнять
5296	13	90.93%	приблизить
5297	13	90.94%	вре­мя
5298	13	90.94%	колдуния
5299	13	90.94%	смятение
5300	13	90.94%	национальный
5301	13	90.94%	присылать
5302	13	90.94%	удачный
5303	13	90.94%	изрядно
5304	13	90.95%	кекс
5305	13	90.95%	финал
5306	13	90.95%	галстук
5307	13	90.95%	факультетский
5308	13	90.95%	малютка
5309	13	90.95%	сальный
5310	13	90.96%	жизнерадостно
5311	13	90.96%	ограничение
5312	13	90.96%	старшекурсник
5313	13	90.96%	приколоть
5314	13	90.96%	прикрепить
5315	13	90.96%	сдвоить
5316	13	90.96%	сгорать
5317	13	90.97%	пе­ред
5318	13	90.97%	лаванда
5319	13	90.97%	гриндило
5320	13	90.97%	людный
5321	13	90.97%	отвязать
5322	13	90.97%	тяжкий
5323	13	90.98%	турнир
5324	13	90.98%	катзаться
5325	13	90.98%	зааплодировать
5326	13	90.98%	обмотать
5327	13	90.98%	мех
5328	13	90.98%	продоложать
5329	13	90.98%	заляпать
5330	13	90.99%	слог
5331	13	90.99%	шкотла
5332	13	90.99%	конфедерация
5333	13	90.99%	выпеть
5334	13	90.99%	петля
5335	13	90.99%	сипух
5336	13	91.00%	прыснуть
5337	13	91.00%	екнуть
5338	13	91.00%	раствор
5339	13	91.00%	смотореть
5340	13	91.00%	открыток
5341	13	91.00%	вариант
5342	13	91.00%	комментатор
5343	13	91.01%	отказать
5344	13	91.01%	подсказка
5345	13	91.01%	отвестить
5346	13	91.01%	чуточка
5347	13	91.01%	полы
5348	13	91.01%	брюки
5349	13	91.02%	истошно
5350	13	91.02%	яичница
5351	13	91.02%	палочека
5352	13	91.02%	забеспокоиться
5353	13	91.02%	опаздывать
5354	13	91.02%	бусина
5355	13	91.02%	ездить
5356	13	91.03%	нора
5357	13	91.03%	трудность
5358	13	91.03%	кролик
5359	13	91.03%	провоцировать
5360	13	91.03%	безголовый
5361	13	91.03%	экзаменационный
5362	13	91.04%	разозлить
5363	13	91.04%	зело
5364	13	91.04%	остроконечный
5365	13	91.04%	дружина
5366	13	91.04%	принц
5367	13	91.04%	однокурсник
5368	12	91.04%	ноздрей
5369	12	91.05%	обеспечение
5370	12	91.05%	какойнибудь
5371	12	91.05%	транспорт
5372	12	91.05%	свечение
5373	12	91.05%	люциус
5374	12	91.05%	чернота
5375	12	91.05%	сердечный
5376	12	91.06%	замуж
5377	12	91.06%	насмешливый
5378	12	91.06%	одобрительный
5379	12	91.06%	настоять
5380	12	91.06%	опрокинуть
5381	12	91.06%	надмить
5382	12	91.06%	имущество
5383	12	91.07%	клочок
5384	12	91.07%	заинтересовать
5385	12	91.07%	обыскать
5386	12	91.07%	обшаривать
5387	12	91.07%	кирпич
5388	12	91.07%	тряпье
5389	12	91.07%	переход
5390	12	91.08%	инстинктивно
5391	12	91.08%	неподвижность
5392	12	91.08%	молить
5393	12	91.08%	сотрясать
5394	12	91.08%	отпрыгнуть
5395	12	91.08%	безуспешно
5396	12	91.08%	разъехаться
5397	12	91.09%	звенить
5398	12	91.09%	предлог
5399	12	91.09%	откровенно
5400	12	91.09%	газетный
5401	12	91.09%	рассудка
5402	12	91.09%	подол
5403	12	91.09%	усомниться
5404	12	91.10%	значиться
5405	12	91.10%	поздравить
5406	12	91.10%	напустить
5407	12	91.10%	коечто
5408	12	91.10%	кудато
5409	12	91.10%	мелочь
5410	12	91.10%	отпереть
5411	12	91.11%	смерить
5412	12	91.11%	подыскивать
5413	12	91.11%	почка
5414	12	91.11%	опухнуть
5415	12	91.11%	фляжка
5416	12	91.11%	колдунья
5417	12	91.11%	сновать
5418	12	91.12%	неприятно
5419	12	91.12%	содрогаться
5420	12	91.12%	увлеченно
5421	12	91.12%	пронизывать
5422	12	91.12%	сосредоточенно
5423	12	91.12%	аккуратный
5424	12	91.12%	подобраться
5425	12	91.12%	безобразие
5426	12	91.13%	мечтательно
5427	12	91.13%	перекрывать
5428	12	91.13%	слиться
5429	12	91.13%	происхождение
5430	12	91.13%	каблук
5431	12	91.13%	манить
5432	12	91.13%	улизнуть
5433	12	91.14%	повертеть
5434	12	91.14%	потягиваться
5435	12	91.14%	различать
5436	12	91.14%	затаиться
5437	12	91.14%	побыть
5438	12	91.14%	смертельно
5439	12	91.14%	снести
5440	12	91.15%	унылый
5441	12	91.15%	отчетливый
5442	12	91.15%	неправильный
5443	12	91.15%	предосторожность
5444	12	91.15%	плюс
5445	12	91.15%	выбираться
5446	12	91.15%	усердно
5447	12	91.16%	отдохнуть
5448	12	91.16%	период
5449	12	91.16%	признаваться
5450	12	91.16%	фонарик
5451	12	91.16%	равнодушный
5452	12	91.16%	кончаться
5453	12	91.16%	ржавый
5454	12	91.17%	ковылять
5455	12	91.17%	мачь
5456	12	91.17%	зажигать
5457	12	91.17%	шаткий
5458	12	91.17%	туалетный
5459	12	91.17%	отдыхать
5460	12	91.17%	закусить
5461	12	91.18%	остролист
5462	12	91.18%	опустошить
5463	12	91.18%	удостоить
5464	12	91.18%	публика
5465	12	91.18%	скончаться
5466	12	91.18%	представать
5467	12	91.18%	столкновение
5468	12	91.19%	дружеский
5469	12	91.19%	неужто
5470	12	91.19%	болезненно
5471	12	91.19%	изящный
5472	12	91.19%	мамин
5473	12	91.19%	оправдываться
5474	12	91.19%	звякнуть
5475	12	91.20%	ай
5476	12	91.20%	а-а
5477	12	91.20%	беспомощно
5478	12	91.20%	воображать
5479	12	91.20%	пролить
5480	12	91.20%	мудрый
5481	12	91.20%	наделить
5482	12	91.21%	гений
5483	12	91.21%	рекорд
5484	12	91.21%	скелет
5485	12	91.21%	кверху
5486	12	91.21%	бодрый
5487	12	91.21%	занервничать
5488	12	91.21%	непривычный
5489	12	91.22%	передача
5490	12	91.22%	гвоздь
5491	12	91.22%	категорически
5492	12	91.22%	свидетельство
5493	12	91.22%	бюст
5494	12	91.22%	мост
5495	12	91.22%	могущественный
5496	12	91.23%	непобедимый
5497	12	91.23%	осмотреться
5498	12	91.23%	покатиться
5499	12	91.23%	завал
5500	12	91.23%	рассуждать
5501	12	91.23%	жилище
5502	12	91.23%	боевой
5503	12	91.24%	колебание
5504	12	91.24%	сверлить
5505	12	91.24%	восхищенно
5506	12	91.24%	катастрофа
5507	12	91.24%	пролезть
5508	12	91.24%	ввалиться
5509	12	91.24%	пинок
5510	12	91.25%	померещиться
5511	12	91.25%	невнятно
5512	12	91.25%	уменьшиться
5513	12	91.25%	вспомянуться
5514	12	91.25%	яма
5515	12	91.25%	оценивать
5516	12	91.25%	презирать
5517	12	91.26%	малечь
5518	12	91.26%	гибкий
5519	12	91.26%	орех
5520	12	91.26%	белеть
5521	12	91.26%	жалобно
5522	12	91.26%	расплатиться
5523	12	91.26%	экспресс
5524	12	91.27%	протирать
5525	12	91.27%	изречь
5526	12	91.27%	высокомерный
5527	12	91.27%	табуретка
5528	12	91.27%	умчаться
5529	12	91.27%	трещина
5530	12	91.27%	пребывание
5531	12	91.28%	бесчисленный
5532	12	91.28%	вооружить
5533	12	91.28%	припасть
5534	12	91.28%	медовух
5535	12	91.28%	любимец
5536	12	91.28%	заместитель
5537	12	91.28%	любитель
5538	12	91.29%	придержать
5539	12	91.29%	шуточка
5540	12	91.29%	пушечный
5541	12	91.29%	птичий
5542	12	91.29%	темноволосый
5543	12	91.29%	рукопожатие
5544	12	91.29%	свинья
5545	12	91.30%	сеть
5546	12	91.30%	зависнуть
5547	12	91.30%	подступать
5548	12	91.30%	подставка
5549	12	91.30%	толстяк
5550	12	91.30%	астрономический
5551	12	91.30%	нахлобучить
5552	12	91.31%	ускорить
5553	12	91.31%	шип
5554	12	91.31%	устрашать
5555	12	91.31%	обогнать
5556	12	91.31%	усадить
5557	12	91.31%	полнолуние
5558	12	91.31%	нередко
5559	12	91.31%	выразиться
5560	12	91.32%	мешаться
5561	12	91.32%	купол
5562	12	91.32%	предсказать
5563	12	91.32%	отныне
5564	12	91.32%	шеренга
5565	12	91.32%	орбита
5566	12	91.32%	смортить
5567	12	91.33%	вильнуть
5568	12	91.33%	управление
5569	12	91.33%	бренд
5570	12	91.33%	намекать
5571	12	91.33%	окатить
5572	12	91.33%	уклончиво
5573	12	91.33%	разбирательство
5574	12	91.34%	усвоить
5575	12	91.34%	подвиг
5576	12	91.34%	ругать
5577	12	91.34%	конфисковать
5578	12	91.34%	уверить
5579	12	91.34%	сожалеть
5580	12	91.34%	танцевальный
5581	12	91.35%	замена
5582	12	91.35%	мамаша
5583	12	91.35%	участь
5584	12	91.35%	материнский
5585	12	91.35%	торговля
5586	12	91.35%	полицейский
5587	12	91.35%	огорчиться
5588	12	91.36%	боль­ше
5589	12	91.36%	подбодрить
5590	12	91.36%	по-другому
5591	12	91.36%	готеться
5592	12	91.36%	подсунуть
5593	12	91.36%	опереться
5594	12	91.36%	никогед
5595	12	91.37%	отбор
5596	12	91.37%	кальмар
5597	12	91.37%	пестрый
5598	12	91.37%	гной
5599	12	91.37%	возвестить
5600	12	91.37%	эффектный
5601	12	91.37%	заметтить
5602	12	91.38%	воровать
5603	12	91.38%	скорей
5604	12	91.38%	насмерть
5605	12	91.38%	ряод
5606	12	91.38%	вечность
5607	12	91.38%	негодующе
5608	12	91.38%	перекинуть
5609	12	91.39%	субботний
5610	12	91.39%	драконих
5611	12	91.39%	виновный
5612	12	91.39%	расплывчатый
5613	12	91.39%	гнездо
5614	12	91.39%	зловеще
5615	12	91.39%	придвинуться
5616	12	91.40%	где-нибудь
5617	12	91.40%	продавать
5618	12	91.40%	блик
5619	12	91.40%	сбиться
5620	12	91.40%	пена
5621	12	91.40%	потайной
5622	12	91.40%	отчислить
5623	12	91.41%	мел
5624	12	91.41%	любовный
5625	12	91.41%	высыпать
5626	12	91.41%	поотой
5627	12	91.41%	усы
5628	12	91.41%	фото
5629	12	91.41%	бормотание
5630	12	91.42%	осуществить
5631	12	91.42%	служебный
5632	12	91.42%	квоффлом
5633	12	91.42%	неприличный
5634	12	91.42%	газон
5635	12	91.42%	проезжать
5636	12	91.42%	совершенствовать
5637	12	91.43%	забастовочный
5638	12	91.43%	инспектировать
5639	12	91.43%	настойка
5640	12	91.43%	природа
5641	12	91.43%	инспекционный
5642	12	91.43%	балахон
5643	12	91.43%	бутыль
5644	12	91.44%	душераздирающий
5645	12	91.44%	безоар
5646	12	91.44%	детеныш
5647	12	91.44%	из–под
5648	12	91.44%	кое–что
5649	12	91.44%	мантиютневидимка
5650	11	91.44%	бесцеремонно
5651	11	91.45%	кружиться
5652	11	91.45%	расположиться
5653	11	91.45%	намереваться
5654	11	91.45%	пепел
5655	11	91.45%	замолкнуть
5656	11	91.45%	заимствовать
5657	11	91.45%	близость
5658	11	91.45%	качнуть
5659	11	91.46%	проронить
5660	11	91.46%	стих
5661	11	91.46%	стекать
5662	11	91.46%	свадебный
5663	11	91.46%	слезиться
5664	11	91.46%	упаковать
5665	11	91.46%	забегать
5666	11	91.46%	смешанный
5667	11	91.47%	приветливый
5668	11	91.47%	некого
5669	11	91.47%	рваный
5670	11	91.47%	доступ
5671	11	91.47%	подчеркнуть
5672	11	91.47%	липкий
5673	11	91.47%	контрзаклятие
5674	11	91.48%	уныние
5675	11	91.48%	звучный
5676	11	91.48%	обильно
5677	11	91.48%	внешний
5678	11	91.48%	портьера
5679	11	91.48%	опережать
5680	11	91.48%	свободно
5681	11	91.48%	исследование
5682	11	91.49%	чародь
5683	11	91.49%	присмотр
5684	11	91.49%	насупиться
5685	11	91.49%	гневной
5686	11	91.49%	мольба
5687	11	91.49%	укор
5688	11	91.49%	позор
5689	11	91.49%	пересчитать
5690	11	91.50%	приз
5691	11	91.50%	извиваться
5692	11	91.50%	замечательно
5693	11	91.50%	красноватый
5694	11	91.50%	постукивать
5695	11	91.50%	стирать
5696	11	91.50%	притащить
5697	11	91.50%	бисер
5698	11	91.51%	озирать
5699	11	91.51%	коллекция
5700	11	91.51%	персона
5701	11	91.51%	поместиться
5702	11	91.51%	батончик
5703	11	91.51%	рвота
5704	11	91.51%	струй
5705	11	91.52%	мантииневидимка
5706	11	91.52%	сторонка
5707	11	91.52%	господи
5708	11	91.52%	дурь
5709	11	91.52%	срочный
5710	11	91.52%	разделиться
5711	11	91.52%	старание
5712	11	91.52%	брошюра
5713	11	91.53%	складываться
5714	11	91.53%	сосредоточить
5715	11	91.53%	вытягивать
5716	11	91.53%	останавливать
5717	11	91.53%	пуще
5718	11	91.53%	восседать
5719	11	91.53%	сковать
5720	11	91.53%	хохотнуть
5721	11	91.54%	дрянь
5722	11	91.54%	выплыть
5723	11	91.54%	уезжать
5724	11	91.54%	крайность
5725	11	91.54%	деловито
5726	11	91.54%	ощупывать
5727	11	91.54%	джемпер
5728	11	91.55%	рассеяться
5729	11	91.55%	ослабить
5730	11	91.55%	калечить
5731	11	91.55%	пейзаж
5732	11	91.55%	укладывать
5733	11	91.55%	увеличить
5734	11	91.55%	низенький
5735	11	91.55%	морщиться
5736	11	91.56%	подделка
5737	11	91.56%	выдвинуть
5738	11	91.56%	требовательно
5739	11	91.56%	перемещаться
5740	11	91.56%	скакать
5741	11	91.56%	оправдание
5742	11	91.56%	фейерверк
5743	11	91.56%	надежно
5744	11	91.57%	заговаривать
5745	11	91.57%	захлестнуть
5746	11	91.57%	мучительно
5747	11	91.57%	зловредный
5748	11	91.57%	пропадать
5749	11	91.57%	забрасывать
5750	11	91.57%	душевный
5751	11	91.58%	памятник
5752	11	91.58%	мрамор
5753	11	91.58%	мостовая
5754	11	91.58%	вывеска
5755	11	91.58%	походка
5756	11	91.58%	побить
5757	11	91.58%	спичка
5758	11	91.58%	разводить
5759	11	91.59%	энергично
5760	11	91.59%	взобраться
5761	11	91.59%	бесформенный
5762	11	91.59%	погаснуть
5763	11	91.59%	близиться
5764	11	91.59%	отскакивать
5765	11	91.59%	добежать
5766	11	91.59%	зевать
5767	11	91.60%	пощадить
5768	11	91.60%	известить
5769	11	91.60%	заливаться
5770	11	91.60%	физический
5771	11	91.60%	отвиснуть
5772	11	91.60%	выдающийся
5773	11	91.60%	частенько
5774	11	91.61%	ответственность
5775	11	91.61%	хлоп
5776	11	91.61%	опасть
5777	11	91.61%	снитчем
5778	11	91.61%	кромка
5779	11	91.61%	неверный
5780	11	91.61%	прилипнуть
5781	11	91.61%	дуба
5782	11	91.62%	придерживать
5783	11	91.62%	щиколотка
5784	11	91.62%	капать
5785	11	91.62%	потертый
5786	11	91.62%	уизли
5787	11	91.62%	возмущение
5788	11	91.62%	юмор
5789	11	91.62%	набраться
5790	11	91.63%	прославить
5791	11	91.63%	утрата
5792	11	91.63%	украшать
5793	11	91.63%	исследовать
5794	11	91.63%	угостить
5795	11	91.63%	высказывать
5796	11	91.63%	призывать
5797	11	91.63%	оберегать
5798	11	91.64%	ковырять
5799	11	91.64%	неслышно
5800	11	91.64%	цилиндр
5801	11	91.64%	пыхтить
5802	11	91.64%	насекомое
5803	11	91.64%	стиль
5804	11	91.64%	укрепить
5805	11	91.65%	слать
5806	11	91.65%	мастерство
5807	11	91.65%	придурка
5808	11	91.65%	уточнить
5809	11	91.65%	запрыгать
5810	11	91.65%	подбросить
5811	11	91.65%	основательно
5812	11	91.65%	отбить
5813	11	91.66%	исход
5814	11	91.66%	вертеть
5815	11	91.66%	рисунок
5816	11	91.66%	восхитительный
5817	11	91.66%	ослабеть
5818	11	91.66%	подбадривать
5819	11	91.66%	визит
5820	11	91.66%	слушатель
5821	11	91.67%	досуг
5822	11	91.67%	привязывать
5823	11	91.67%	заплыть
5824	11	91.67%	яснее
5825	11	91.67%	панический
5826	11	91.67%	расступиться
5827	11	91.67%	прикасаться
5828	11	91.68%	пошатнуться
5829	11	91.68%	миниатюрный
5830	11	91.68%	настичь
5831	11	91.68%	плаща
5832	11	91.68%	поудобнее
5833	11	91.68%	несправедливый
5834	11	91.68%	переполнять
5835	11	91.68%	вначале
5836	11	91.69%	наволочка
5837	11	91.69%	безнадежно
5838	11	91.69%	впечатлять
5839	11	91.69%	могущество
5840	11	91.69%	обходиться
5841	11	91.69%	жидкий
5842	11	91.69%	засовывать
5843	11	91.69%	веснушка
5844	11	91.70%	великолепно
5845	11	91.70%	повториться
5846	11	91.70%	прилавка
5847	11	91.70%	врасплох
5848	11	91.70%	зель
5849	11	91.70%	обжечь
5850	11	91.70%	слепой
5851	11	91.71%	привстать
5852	11	91.71%	недостаточно
5853	11	91.71%	ласковый
5854	11	91.71%	обиженно
5855	11	91.71%	дожиться
5856	11	91.71%	ха
5857	11	91.71%	избить
5858	11	91.71%	вышить
5859	11	91.72%	превзойти
5860	11	91.72%	страшиться
5861	11	91.72%	подталкивать
5862	11	91.72%	пиджак
5863	11	91.72%	уговор
5864	11	91.72%	кузня
5865	11	91.72%	медлить
5866	11	91.72%	всматривать
5867	11	91.73%	восклицание
5868	11	91.73%	дьявольский
5869	11	91.73%	продержаться
5870	11	91.73%	ник
5871	11	91.73%	негодяй
5872	11	91.73%	северный
5873	11	91.73%	выслушивать
5874	11	91.74%	передразнить
5875	11	91.74%	перекатиться
5876	11	91.74%	галоп
5877	11	91.74%	месть
5878	11	91.74%	иву
5879	11	91.74%	щелка
5880	11	91.74%	распрямиться
5881	11	91.74%	стесняться
5882	11	91.75%	крона
5883	11	91.75%	сноп
5884	11	91.75%	неловко
5885	11	91.75%	отчеканить
5886	11	91.75%	урод
5887	11	91.75%	аплодировать
5888	11	91.75%	обучить
5889	11	91.75%	предположение
5890	11	91.76%	губить
5891	11	91.76%	засесть
5892	11	91.76%	пассажир
5893	11	91.76%	ужасать
5894	11	91.76%	область
5895	11	91.76%	ругательство
5896	11	91.76%	отряд
5897	11	91.76%	копыт
5898	11	91.77%	бутерброд
5899	11	91.77%	развлекаться
5900	11	91.77%	возеться
5901	11	91.77%	кирпичный
5902	11	91.77%	ужаснуться
5903	11	91.77%	ползать
5904	11	91.77%	проговориться
5905	11	91.78%	подготовить
5906	11	91.78%	допить
5907	11	91.78%	зависимость
5908	11	91.78%	село
5909	11	91.78%	лапка
5910	11	91.78%	доставаться
5911	11	91.78%	сокрушенно
5912	11	91.78%	заиграть
5913	11	91.79%	обедать
5914	11	91.79%	надолго
5915	11	91.79%	телефон
5916	11	91.79%	лысина
5917	11	91.79%	волшебаник
5918	11	91.79%	теперешний
5919	11	91.79%	взгляод
5920	11	91.79%	спешно
5921	11	91.80%	доктор
5922	11	91.80%	жемчужный
5923	11	91.80%	третьекурсник
5924	11	91.80%	м-м-м
5925	11	91.80%	пря­мо
5926	11	91.80%	поразиться
5927	11	91.80%	негодующий
5928	11	91.81%	порядочный
5929	11	91.81%	ошейник
5930	11	91.81%	кто-кто
